"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C1,C17";"C_0805_2012Metric";3;"10u";;;
2;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal_modified";1;"USB_B_Micro";;;
3;"J2";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
4;"J3,J4";"PinHeader_2x18_P2.54mm_Vertical";2;"Conn_02x18_Odd_Even";;;
5;"C10,C8";"C_0402_1005Metric";2;"1u";;;
6;"C13,C5,C9,C12,C14,C7,C11,C16,C6,C15,C19,C18";"C_0402_1005Metric";12;"100n";;;
7;"R2";"C_0402_1005Metric";1;"DNF";;;
8;"U1";"SOT-223-3_TabPin2";1;"NCP1117-3.3_SOT223";;;
9;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
10;"C3,C2";"C_0402_1005Metric";2;"27p";;;
11;"R1,R5";"C_0402_1005Metric";2;"1k";;;
12;"R3,R4";"C_0402_1005Metric";2;"27";;;
13;"U3";"RP2040-QFN-56";1;"RP2040";;;
14;"H2,H3,H1,H4";"MountingHole_2.7mm_M2.5";4;"MountingHole";;;
15;"Y1";"Crystal_SMD_HC49-US";1;"ABLS-12.000MHZ-B4-T";;;
16;"R6,R7";"C_0402_1005Metric";2;"4.7k";;;
17;"U4";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
