Comment,Designator,Footprint,LCSC
10u,"C1,C16,C2",C_0805_2012Metric,C1046
1k,"R4,R5",R_0402_1005Metric,C11702
2N3906,Q1,TO-92_Inline,C124483
100n,"C10,C11,C12,C13,C18,C4,C5,C7,C8,C9",C_0402_1005Metric,C1525
100p,C17,C_0402_1005Metric,C1546
27R4,"R1,R2",R_0402_1005Metric,C172043
15p,"C14,C15",C_0402_1005Metric,C17944
RP2040,U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,C2040
ABM8-272-T3,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C20625731
470,R_Limit1,R_0603_1608Metric,C23179
10k,"R10,R7,R8",R_0402_1005Metric,C25744
NCP1117-3.3_SOT223,U2,SOT-223-3_TabPin2,C26537
USB_B_Micro,J1,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,C2681556
TMP461xxRUN,U4,Texas_WQFN-10_2x2mm_P0.5mm,C2873234
1u,"C3,C6",C_0402_1005Metric,C52923
W25Q128JVS,U3,SOIC-8_5.23x5.23mm_P1.27mm,C97521
MountingHole,H3,MountingHole_2.7mm_M2.5,
Conn_01x18,J4,PinHeader_1x18_P2.54mm_Vertical,
MountingHole,H2,MountingHole_2.7mm_M2.5,
Conn_01x02,J2,PinHeader_1x02_P2.54mm_Vertical,
MountingHole,H1,MountingHole_2.7mm_M2.5,
MountingHole,H4,MountingHole_2.7mm_M2.5,
Conn_01x18,J3,PinHeader_1x18_P2.54mm_Vertical,
LED,D1,LED_D3.0mm,
DNF,R3,R_0402_1005Metric,
