Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10u,C_0805_2012Metric,38.5,61.0,0.0,top
C2,10u,C_0805_2012Metric,40.0,46.0,0.0,top
C3,1u,C_0402_1005Metric,32.8,40.9375,90.0,top
C4,100n,C_0402_1005Metric,28.8,41.9375,90.0,top
C5,100n,C_0402_1005Metric,31.4,27.0625,-90.0,top
C6,1u,C_0402_1005Metric,33.8,40.9375,90.0,top
C7,100n,C_0402_1005Metric,29.8,41.9375,90.0,top
C8,100n,C_0402_1005Metric,23.5625,37.1,180.0,top
C9,100n,C_0402_1005Metric,30.4,27.0625,-90.0,top
C10,100n,C_0402_1005Metric,36.485,39.425,0.0,top
C11,100n,C_0402_1005Metric,36.485,38.025,0.0,top
C12,100n,C_0402_1005Metric,36.485,32.825,0.0,top
C13,100n,C_0402_1005Metric,23.5625,32.725,180.0,top
C14,15p,C_0402_1005Metric,31.35,24.5,0.0,top
C15,15p,C_0402_1005Metric,28.75,24.5,180.0,top
C16,10u,C_0402_1005Metric,47.89,61.38,0.0,top
C17,100p,C_0402_1005Metric,22.1125,11.95,-90.0,top
C18,100n,C_0402_1005Metric,24.4,51.905,180.0,top
D1,LED,LED_D3.0mm,32.22,4.1,0.0,top
J1,USB_B_Micro,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,30.0,64.0,180.0,top
J2,Conn_01x02,PinHeader_1x02_P2.54mm_Vertical,14.41,63.14,180.0,top
J3,Conn_01x18,PinHeader_1x18_P2.54mm_Vertical,5.0,33.91,0.0,top
J4,Conn_01x18,PinHeader_1x18_P2.54mm_Vertical,55.0,33.91,0.0,top
Q1,2N3906,TO-92_Inline,17.47,6.37,0.0,top
R1,27R4,R_0402_1005Metric,30.8,40.9375,-90.0,top
R2,27R4,R_0402_1005Metric,31.8,40.9375,-90.0,top
R3,DNF,R_0402_1005Metric,17.54,52.36,-90.0,top
R4,1k,R_0402_1005Metric,15.54,52.36,-90.0,top
R5,1k,R_0402_1005Metric,29.4,27.0625,-90.0,top
R7,10k,R_0402_1005Metric,39.275,9.51,-90.0,top
R8,10k,R_0402_1005Metric,33.8875,14.45,90.0,top
R10,10k,R_0402_1005Metric,26.07,8.89,-90.0,top
R_Limit1,470,R_0402_1005Metric,38.6375,4.08,0.0,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,30.0,34.0,0.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,38.5,53.5,-90.0,top
U3,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,21.0,47.0,0.0,top
U4,TMP461xxRUN,Texas_WQFN-10_2x2mm_P0.5mm,30.0,11.7,0.0,top
Y1,ABM8-272-T3,Crystal_SMD_3225-4Pin_3.2x2.5mm,30.0,21.7,0.0,top
